"","Price"
"12/16/2024 0:00","106010"
"12/15/2024 0:00","104621"
"12/14/2024 0:00","101364"
"12/13/2024 0:00","101371"
"12/12/2024 0:00","100041"
"12/11/2024 0:00","101074"
"12/10/2024 0:00","96628.01"
"12/9/2024 0:00","97422.43"
"12/8/2024 0:00","101215"
"12/7/2024 0:00","99699.99"
"12/6/2024 0:00","99798.48"
"12/5/2024 0:00","97013.92"
"12/4/2024 0:00","98730.99"
"12/3/2024 0:00","95970.93"
"12/2/2024 0:00","95807.6"
"12/1/2024 0:00","97236.3"
"11/30/2024 0:00","96436.01"
"11/29/2024 0:00","97383.7"
"11/28/2024 0:00","95632.03"
"11/27/2024 0:00","95899.86"
"11/26/2024 0:00","91993.22"
"11/25/2024 0:00","93079.67"
"11/24/2024 0:00","97867.46"
"11/23/2024 0:00","97628.02"
"11/22/2024 0:00","98851.49"
"11/21/2024 0:00","98425.93"
"11/20/2024 0:00","94174.71"
"11/19/2024 0:00","92119.47"
"11/18/2024 0:00","90549.34"
"11/17/2024 0:00","89763.59"
"11/16/2024 0:00","90543.67"
"11/15/2024 0:00","90949.94"
"11/14/2024 0:00","87347.45"
"11/13/2024 0:00","90300.02"
"11/12/2024 0:00","88164.77"
"11/11/2024 0:00","88627.98"
"11/10/2024 0:00","80409.97"
"11/9/2024 0:00","76615.99"
"11/8/2024 0:00","76544.78"
"11/7/2024 0:00","75919.31"
"11/6/2024 0:00","75567.57"
"11/5/2024 0:00","69348.54"
"11/4/2024 0:00","67792.92"
"11/3/2024 0:00","68832.86"
"11/2/2024 0:00","69319.96"
"11/1/2024 0:00","69531.96"
"10/31/2024 0:00","70340.01"
"10/30/2024 0:00","72359.86"
"10/29/2024 0:00","72782.82"
"10/28/2024 0:00","69892.45"
"10/27/2024 0:00","68029.34"
"10/26/2024 0:00","67102.01"
"10/25/2024 0:00","66637.8"
"10/24/2024 0:00","68234.05"
"10/23/2024 0:00","66745.54"
"10/22/2024 0:00","67393.99"
"10/21/2024 0:00","67440.04"
"10/20/2024 0:00","68987.76"
"10/19/2024 0:00","68394.04"
"10/18/2024 0:00","68465.29"
"10/17/2024 0:00","67363.67"
"10/16/2024 0:00","67657.43"
"10/15/2024 0:00","66984.04"
"10/14/2024 0:00","66085.97"
"10/13/2024 0:00","62806.34"
"10/12/2024 0:00","63216.04"
"10/11/2024 0:00","62410.61"
"10/10/2024 0:00","60260.02"
"10/9/2024 0:00","60647.99"
"10/8/2024 0:00","62215.97"
"10/7/2024 0:00","62300.75"
"10/6/2024 0:00","62823.43"
"10/5/2024 0:00","62084"
"10/4/2024 0:00","62110.02"
"10/3/2024 0:00","60776.01"
"10/2/2024 0:00","60670.03"
"10/1/2024 0:00","60888.04"
"9/30/2024 0:00","63290"
"9/29/2024 0:00","65668.25"
"9/28/2024 0:00","65923.99"
"9/27/2024 0:00","65762.47"
"9/26/2024 0:00","65142.08"
"9/25/2024 0:00","63165.61"
"9/24/2024 0:00","64335.62"
"9/23/2024 0:00","63332.69"
"9/22/2024 0:00","63575.97"
"9/21/2024 0:00","63389.92"
"9/20/2024 0:00","63102.03"
"9/19/2024 0:00","62953.98"
"9/18/2024 0:00","61449.14"
"9/17/2024 0:00","60303.5"
"9/16/2024 0:00","58229.2"
"9/15/2024 0:00","59198.11"
"9/14/2024 0:00","59987.93"
"9/13/2024 0:00","60575.47"
"9/12/2024 0:00","58116.05"
"9/11/2024 0:00","57364.02"
"9/10/2024 0:00","57627.99"
"9/9/2024 0:00","57031.98"
"9/8/2024 0:00","54823.96"
"9/7/2024 0:00","54188.32"
"9/6/2024 0:00","53922.68"
"9/5/2024 0:00","56170.04"
"9/4/2024 0:00","57984.05"
"9/3/2024 0:00","57544.01"
"9/2/2024 0:00","59127.62"
"9/1/2024 0:00","57341.08"
"8/31/2024 0:00","58965.98"
"8/30/2024 0:00","59158"
"8/29/2024 0:00","59348.98"
"8/28/2024 0:00","59034.65"
"8/27/2024 0:00","59503.05"
"8/26/2024 0:00","62866.04"
"8/25/2024 0:00","64279.03"
"8/24/2024 0:00","64107.98"
"8/23/2024 0:00","63979.97"
"8/22/2024 0:00","60386.02"
"8/21/2024 0:00","61109.99"
"8/20/2024 0:00","59056.01"
"8/19/2024 0:00","59562.71"
"8/18/2024 0:00","58525.95"
"8/17/2024 0:00","59420.03"
"8/16/2024 0:00","58902.1"
"8/15/2024 0:00","57600"
"8/14/2024 0:00","58730.93"
"8/13/2024 0:00","60565.01"
"8/12/2024 0:00","59342.02"
"8/11/2024 0:00","58819.99"
"8/10/2024 0:00","60875.98"
"8/9/2024 0:00","60848.51"
"8/8/2024 0:00","61837.93"
"8/7/2024 0:00","55024.11"
"8/6/2024 0:00","55982.04"
"8/5/2024 0:00","54006"
"8/4/2024 0:00","58074.85"
"8/3/2024 0:00","60760.03"
"8/2/2024 0:00","61487.05"
"8/1/2024 0:00","65409.83"
"7/31/2024 0:00","64665.98"
"7/30/2024 0:00","66244.03"
"7/29/2024 0:00","66810.03"
"7/28/2024 0:00","68234.91"
"7/27/2024 0:00","68045.98"
"7/26/2024 0:00","67914.02"
"7/25/2024 0:00","65750.02"
"7/24/2024 0:00","65412.03"
"7/23/2024 0:00","65914.55"
"7/22/2024 0:00","67587.97"
"7/21/2024 0:00","68071.99"
"7/20/2024 0:00","67182.45"
"7/19/2024 0:00","66648.03"
"7/18/2024 0:00","63966.13"
"7/17/2024 0:00","64120.47"
"7/16/2024 0:00","65119.1"
"7/15/2024 0:00","64819.37"
"7/14/2024 0:00","60946.02"
"7/13/2024 0:00","59174.19"
"7/12/2024 0:00","57899.96"
"7/11/2024 0:00","57381.96"
"7/10/2024 0:00","57719.47"
"7/9/2024 0:00","57995.99"
"7/8/2024 0:00","56681.81"
"7/7/2024 0:00","55878.38"
"7/6/2024 0:00","58232.99"
"7/5/2024 0:00","56691.34"
"7/4/2024 0:00","57142"
"7/3/2024 0:00","60294.75"
"7/2/2024 0:00","62127.95"
"7/1/2024 0:00","62889.92"
"6/30/2024 0:00","62849.53"
"6/29/2024 0:00","60964.17"
"6/28/2024 0:00","60427.86"
