,Price
2024/12/16 00:00:00,106010.000
2024/12/15 00:00:00,104621.000
2024/12/14 00:00:00,101364.000
2024/12/13 00:00:00,101371.000
2024/12/12 00:00:00,100041.000
2024/12/11 00:00:00,101074.000
2024/12/10 00:00:00,96628.010
2024/12/09 00:00:00,97422.430
2024/12/08 00:00:00,101215.000
2024/12/07 00:00:00,99699.990
2024/12/06 00:00:00,99798.480
2024/12/05 00:00:00,97013.920
2024/12/04 00:00:00,98730.990
2024/12/03 00:00:00,95970.930
2024/12/02 00:00:00,95807.600
2024/12/01 00:00:00,97236.300
2024/11/30 00:00:00,96436.010
2024/11/29 00:00:00,97383.700
2024/11/28 00:00:00,95632.030
2024/11/27 00:00:00,95899.860
2024/11/26 00:00:00,91993.220
2024/11/25 00:00:00,93079.670
2024/11/24 00:00:00,97867.460
2024/11/23 00:00:00,97628.020
2024/11/22 00:00:00,98851.490
2024/11/21 00:00:00,98425.930
2024/11/20 00:00:00,94174.710
2024/11/19 00:00:00,92119.470
2024/11/18 00:00:00,90549.340
2024/11/17 00:00:00,89763.590
2024/11/16 00:00:00,90543.670
2024/11/15 00:00:00,90949.940
2024/11/14 00:00:00,87347.450
2024/11/13 00:00:00,90300.020
2024/11/12 00:00:00,88164.770
2024/11/11 00:00:00,88627.980
2024/11/10 00:00:00,80409.970
2024/11/09 00:00:00,76615.990
2024/11/08 00:00:00,76544.780
2024/11/07 00:00:00,75919.310
2024/11/06 00:00:00,75567.570
2024/11/05 00:00:00,69348.540
2024/11/04 00:00:00,67792.920
2024/11/03 00:00:00,68832.860
2024/11/02 00:00:00,69319.960
2024/11/01 00:00:00,69531.960
2024/10/31 00:00:00,70340.010
2024/10/30 00:00:00,72359.860
2024/10/29 00:00:00,72782.820
2024/10/28 00:00:00,69892.450
2024/10/27 00:00:00,68029.340
2024/10/26 00:00:00,67102.010
2024/10/25 00:00:00,66637.800
2024/10/24 00:00:00,68234.050
2024/10/23 00:00:00,66745.540
2024/10/22 00:00:00,67393.990
2024/10/21 00:00:00,67440.040
2024/10/20 00:00:00,68987.760
2024/10/19 00:00:00,68394.040
2024/10/18 00:00:00,68465.290
2024/10/17 00:00:00,67363.670
2024/10/16 00:00:00,67657.430
2024/10/15 00:00:00,66984.040
2024/10/14 00:00:00,66085.970
2024/10/13 00:00:00,62806.340
2024/10/12 00:00:00,63216.040
2024/10/11 00:00:00,62410.610
2024/10/10 00:00:00,60260.020
